Rank,County,Y (Lat),X (Long),Ag District,Cattle
253,Dawson,32.74258137,-101.9476136,Southern High Plains,2287
1,Deaf Smith,29.08201599,-97.35666976,Northern High Plains,477199
164,Delta,34.96602014,-102.6048162,Blacklands,18789
88,Denton,33.38623601,-95.67221685,Blacklands,41369
22,DeWitt,33.205574,-97.11681154,South Central,83556
165,Dickens,33.61663428,-100.7788138,Northern Low Plains,18690
174,Dimmit,28.42161168,-99.760574,South Texas,16596
74,Donley,34.96540246,-100.8140501,Northern Low Plains,47471
124,Duval,27.68133382,-98.50889672,South Texas,31294
86,Eastland,32.32739258,-98.8325713,Cross Timbers,41452
246,Ector,31.86908156,-102.5430907,Trans-Pecos,3482
209,Edwards,29.98248216,-100.3048937,Edwards Plateau,11693
245,El Paso,31.7686226,-106.2352229,Trans-Pecos,3592
80,Ellis,32.34839264,-96.79467417,Blacklands,43888
13,Erath,32.23640361,-98.21722756,Cross Timbers,120843
21,Falls,31.25317017,-96.93579511,Blacklands,86515
33,Fannin,33.59396919,-96.10656755,Blacklands,71809
27,Fayette,29.87683207,-96.91968047,South Central,75925
157,Fisher,32.74305155,-100.4019503,Southern Low Plains,19725
30,Floyd,34.07239775,-101.3033037,Northern High Plains,73074
201,Foard,33.97408519,-99.77871109,Northern Low Plains,13361
119,Fort Bend,29.52763253,-95.77090562,Upper Coast,32731
132,Franklin,33.17550691,-95.21841437,East Texas North,28217
47,Freestone,31.70486443,-96.14918535,East Texas South,61656
70,Frio,28.86726774,-99.10826004,South Texas,50587
231,Gaines,32.74074537,-102.6351246,Southern High Plains,7129
220,Galveston,29.39424415,-94.96474975,Upper Coast,9772
234,Garza,33.17991074,-101.2984496,Northern Low Plains,6507
106,Gillespie,30.31800246,-98.94627245,Edwards Plateau,35895
237,Glasscock,31.8694238,-101.520742,Southern High Plains,5894
93,Goliad,28.65708563,-97.42646082,South Central,40230
14,Gonzales,29.45641495,-97.49279927,South Central,114100
16,Gray,35.40130666,-100.812475,Northern High Plains,103014
78,Grayson,33.62684371,-96.67764864,Blacklands,45912
238,Gregg,32.48036452,-94.81723694,East Texas North,5640
57,Grimes,30.54360689,-95.98557334,East Texas South,57061
